"","Date","pH_ScientificUnits","Salinity_PartsPerThousand","WaterTemp_Celcius","Turbidity_FNU","DissOxy_MilligramPerLitre"
"73",2017-04-29 14:00:00,8.2,29.13383283,27.99,3.05,7.43
"74",2017-04-29 15:00:00,8.22,29.2516732,28.2,5.37,7.75
"75",2017-04-29 16:00:00,8.23,29.32321303,28.28,3.17,7.85
"76",2017-04-29 17:00:00,8.21,29.21124634,28.37,3.2,7.6
"77",2017-04-29 18:00:00,8.22,29.26812111,28.31,3.49,7.56
"78",2017-04-29 19:00:00,8.21,29.28982536,28.14,5.93,7.37
"79",2017-04-29 20:00:00,8.23,29.43605678,27.99,2.61,7.56
"80",2017-04-29 21:00:00,8.23,29.50571676,27.84,3.11,7.47
"81",2017-04-29 22:00:00,8.24,29.63693819,27.73,3.25,7.4
"82",2017-04-29 23:00:00,8.24,29.72083295,27.6,3.77,7.2
"83",2017-04-30 00:00:00,8.25,29.79229527,27.47,3.82,7.05
"84",2017-04-30 01:00:00,8.21,29.59814986,27.33,3.8,6.73
"85",2017-04-30 02:00:00,8.18,29.40796135,27.2,3.09,6.35
"86",2017-04-30 03:00:00,8.16,29.23203428,27.05,3.12,6.2
"87",2017-04-30 04:00:00,8.15,28.95299557,26.93,3.76,6.04
"88",2017-04-30 05:00:00,8.17,29.23024194,26.94,4.08,5.92
"89",2017-04-30 06:00:00,8.14,28.81131213,26.85,2.96,5.55
"90",2017-04-30 07:00:00,8.14,29.07681748,26.82,4,5.4
"91",2017-04-30 08:00:00,8.12,28.82315806,26.78,3.69,5.54
"92",2017-04-30 09:00:00,8.12,28.72677138,26.86,4,5.77
"93",2017-04-30 10:00:00,8.13,28.72621208,26.96,3.3,6.1
"94",2017-04-30 11:00:00,8.14,28.81571607,27.06,3.59,6.33
"95",2017-04-30 12:00:00,8.14,28.98948891,27.18,3.97,6.53
"96",2017-04-30 13:00:00,8.16,29.1044678,27.25,3.57,6.78
"97",2017-04-30 14:00:00,8.18,28.99058281,27.41,3.58,7.12
"98",2017-04-30 15:00:00,8.19,28.67724116,27.5,3.56,7.44
"99",2017-04-30 16:00:00,8.19,28.43369392,27.58,4.3,7.57
"100",2017-04-30 17:00:00,8.2,28.4702577,27.63,4.58,7.53
"101",2017-04-30 18:00:00,8.2,28.40459716,27.57,5.07,7.43
"102",2017-04-30 19:00:00,8.19,28.28114515,27.48,4.58,7.2
"103",2017-04-30 20:00:00,8.17,28.52336011,27.38,5.32,6.73
"104",2017-04-30 21:00:00,8.19,29.08105427,27.26,5.56,6.49
"105",2017-04-30 22:00:00,8.2,29.13373488,27.02,4.99,6.51
"106",2017-04-30 23:00:00,8.18,29.29465065,27.05,6.96,6.11
"107",2017-05-01 00:00:00,8.18,29.53608163,26.91,7.09,6.09
"108",2017-05-01 01:00:00,8.18,29.74549209,26.86,5.69,5.86
"109",2017-05-01 02:00:00,8.16,29.34849008,26.76,6.29,5.66
"110",2017-05-01 03:00:00,8.15,29.01577088,26.58,3.79,5.36
"111",2017-05-01 04:00:00,8.15,29.07266662,26.48,4.51,5.67
"112",2017-05-01 05:00:00,8.15,29.10829021,26.38,4.79,5.6
"113",2017-05-01 06:00:00,8.14,29.13340479,26.28,3.73,5.64
"114",2017-05-01 07:00:00,8.12,29.47960451,26.32,5.04,5.15
"115",2017-05-01 08:00:00,8.08,29.76327092,26.36,4.99,5.08
"116",2017-05-01 09:00:00,8.14,28.77454592,26.35,3.9,5.89
"117",2017-05-01 10:00:00,8.15,28.82896472,26.56,3.52,6.24
"118",2017-05-01 11:00:00,8.16,28.74097971,26.79,4.43,6.61
"119",2017-05-01 12:00:00,8.16,28.30044498,26.92,5.7,6.57
