Timestamp (UTC-05:00),Value (Formazin Nephelometric Units),Grade Code,Approval Level,Interpolation Type,Event Timestamp
1/6/2021 4:00,5.11,0,800,1,
1/6/2021 5:00,4.94,0,800,1,
1/6/2021 6:00,5.03,0,800,1,
1/6/2021 7:00,6.02,0,800,1,
1/6/2021 8:00,7.24,0,800,1,
1/6/2021 9:00,9.56,0,800,1,
1/6/2021 10:00,7.11,0,800,1,
1/6/2021 11:00,7.47,0,800,1,
1/6/2021 12:00,6.48,0,800,1,
1/6/2021 13:00,5.32,0,800,1,
1/6/2021 14:00,4.95,0,800,1,
1/6/2021 15:00,5.23,0,800,1,
1/6/2021 16:00,5.63,0,800,1,
1/6/2021 17:00,6.51,0,800,1,
1/6/2021 18:00,7.16,0,800,1,
1/6/2021 19:00,6.61,0,800,1,
1/6/2021 20:00,5.39,0,800,1,
1/6/2021 21:00,5.25,0,800,1,
1/6/2021 22:00,5.27,0,800,1,
1/6/2021 23:00,5.21,0,800,1,
1/7/2021 0:00,4.87,0,800,1,
1/7/2021 1:00,5.08,0,800,1,
1/7/2021 2:00,4.42,0,800,1,
1/7/2021 3:00,4.95,0,800,1,
1/7/2021 4:00,5.53,0,800,1,
1/7/2021 5:00,6.44,0,800,1,
1/7/2021 6:00,8.27,0,800,1,
1/7/2021 7:00,7.49,0,800,1,
1/7/2021 8:00,6.65,0,800,1,
1/7/2021 9:00,8.01,0,800,1,
1/7/2021 10:00,6.58,0,800,1,
1/7/2021 11:00,9.75,0,800,1,
1/7/2021 12:00,8.93,0,800,1,
1/7/2021 13:00,7.8,0,800,1,
1/7/2021 14:00,6.79,0,800,1,
1/7/2021 15:00,6.62,0,800,1,
1/7/2021 16:00,6.41,0,800,1,
1/7/2021 17:00,6.21,0,800,1,
1/7/2021 18:00,5.19,0,800,1,
1/7/2021 19:00,5.13,0,800,1,
1/7/2021 20:00,5.57,0,800,1,
1/7/2021 21:00,5.87,0,800,1,
1/7/2021 22:00,5.62,0,800,1,
1/7/2021 23:00,5.6,0,800,1,
1/8/2021 0:00,6.2,0,800,1,
1/8/2021 1:00,6.06,0,800,1,
1/8/2021 2:00,5.47,0,800,1,
1/8/2021 3:00,5.72,0,800,1,
1/8/2021 4:00,5.73,0,800,1,
1/8/2021 5:00,5.92,0,800,1,
1/8/2021 6:00,4.26,0,800,1,
1/8/2021 7:00,5,0,800,1,
1/8/2021 8:00,4.97,0,800,1,
1/8/2021 9:00,4.19,0,800,1,
1/8/2021 10:00,4.14,0,800,1,
1/8/2021 11:00,4.77,0,800,1,
1/8/2021 12:00,7.65,0,800,1,
1/8/2021 13:00,17.12,0,800,1,
1/8/2021 14:00,9.02,0,800,1,
1/8/2021 15:00,8.73,0,800,1,
1/8/2021 16:00,9.16,0,800,1,
1/8/2021 17:00,9.06,0,800,1,
1/8/2021 18:00,8.08,0,800,1,
1/8/2021 19:00,7.48,0,800,1,
1/8/2021 20:00,11.03,0,800,1,
1/8/2021 21:00,7.51,0,800,1,
1/8/2021 22:00,11.93,0,800,1,
1/8/2021 23:00,8.85,0,800,1,
1/9/2021 0:00,13.49,0,800,1,
1/9/2021 1:00,12.11,0,800,1,
1/9/2021 2:00,10.04,0,800,1,
1/9/2021 3:00,9.17,0,800,1,
1/9/2021 4:00,8.59,0,800,1,
1/9/2021 5:00,9.31,0,800,1,
1/9/2021 6:00,9.02,0,800,1,
1/9/2021 7:00,13.14,0,800,1,
1/9/2021 8:00,12.89,0,800,1,
1/9/2021 9:00,10.56,0,800,1,
1/9/2021 10:00,8.91,0,800,1,
1/9/2021 11:00,10.77,0,800,1,
1/9/2021 12:00,7.95,0,800,1,
1/9/2021 13:00,7.29,0,800,1,
1/9/2021 14:00,6.03,0,800,1,
1/9/2021 15:00,7.26,0,800,1,
1/9/2021 16:00,6.11,0,800,1,
1/9/2021 17:00,6.22,0,800,1,
1/9/2021 18:00,5.92,0,800,1,
1/9/2021 19:00,5.47,0,800,1,
1/9/2021 20:00,5.48,0,800,1,
1/9/2021 21:00,4.94,0,800,1,
1/9/2021 22:00,5.43,0,800,1,
1/9/2021 23:00,6.03,0,800,1,
1/10/2021 0:00,6.92,0,800,1,
1/10/2021 1:00,5.85,0,800,1,
1/10/2021 2:00,5.57,0,800,1,
1/10/2021 3:00,5.28,0,800,1,
1/10/2021 4:00,5.79,0,800,1,
1/10/2021 5:00,6.91,0,800,1,
1/10/2021 6:00,6.02,0,800,1,
1/10/2021 7:00,6.7,0,800,1,
1/10/2021 8:00,6.13,0,800,1,
1/10/2021 9:00,5.28,0,800,1,
1/10/2021 10:00,4.73,0,800,1,
1/10/2021 11:00,4.47,0,800,1,
1/10/2021 12:00,4.95,0,800,1,
1/10/2021 13:00,5.44,0,800,1,
1/10/2021 14:00,5.05,0,800,1,
1/10/2021 15:00,4.81,0,800,1,
1/10/2021 16:00,5.53,0,800,1,
1/10/2021 17:00,6.28,0,800,1,
1/10/2021 18:00,5.84,0,800,1,
1/10/2021 19:00,7.98,0,800,1,
1/10/2021 20:00,6.64,0,800,1,
1/10/2021 21:00,6.28,0,800,1,
1/10/2021 22:00,5.92,0,800,1,
1/10/2021 23:00,5.8,0,800,1,
1/11/2021 0:00,7.29,0,800,1,
1/11/2021 1:00,6.26,0,800,1,
1/11/2021 2:00,7.49,0,800,1,
1/11/2021 3:00,5.14,0,800,1,
1/11/2021 4:00,5.5,0,800,1,
1/11/2021 5:00,6.16,0,800,1,
1/11/2021 6:00,5.24,0,800,1,
1/11/2021 7:00,4.96,0,800,1,
1/11/2021 8:00,5.23,0,800,1,
1/11/2021 9:00,8.02,0,800,1,
1/11/2021 10:00,6.7,0,800,1,
1/11/2021 11:00,5.31,0,800,1,
1/11/2021 12:00,5.65,0,800,1,
1/11/2021 13:00,4.58,0,800,1,
1/11/2021 14:00,5.11,0,800,1,
