Data Table for Daily Case Trends - Florida
Date generated: Sun Nov 07 2021 12:43:08 GMT-0500 (Eastern Standard Time)
State,Date,New Cases,7-Day Moving Avg
Florida,May 24 2021,1873,2395
Florida,May 23 2021,1575,2520
Florida,May 22 2021,2020,2575
Florida,May 21 2021,3295,2631
Florida,May 20 2021,2314,2626
Florida,May 19 2021,2863,2800
Florida,May 18 2021,2827,2963
Florida,May 17 2021,2750,3008
Florida,May 16 2021,1961,3078
Florida,May 15 2021,2411,3122
Florida,May 14 2021,3257,3231
Florida,May 13 2021,3533,3326
Florida,May 12 2021,4005,3428
Florida,May 11 2021,3145,3511
Florida,May 10 2021,3238,3686
Florida,May  9 2021,2268,3746
Florida,May  8 2021,3171,3869
Florida,May  7 2021,3923,3968
Florida,May  6 2021,4251,4174
Florida,May  5 2021,4584,4318
Florida,May  4 2021,4373,4469
Florida,May  3 2021,3653,4573
Florida,May  2 2021,3130,4796
Florida,May  1 2021,3868,4856
Florida,Apr 30 2021,5361,4970
Florida,Apr 29 2021,5260,5240
Florida,Apr 28 2021,5643,5182
Florida,Apr 27 2021,5098,5319
Florida,Apr 26 2021,5214,5382
Florida,Apr 25 2021,3550,5438
Florida,Apr 24 2021,4667,5541
Florida,Apr 23 2021,7252,5710
Florida,Apr 22 2021,4853,5572
Florida,Apr 21 2021,6604,5910
Florida,Apr 20 2021,5536,5924
Florida,Apr 19 2021,5607,6086
Florida,Apr 18 2021,4274,6574
Florida,Apr 17 2021,5850,6197
Florida,Apr 16 2021,6282,6147
Florida,Apr 15 2021,7220,6213
Florida,Apr 14 2021,6701,6179
Florida,Apr 13 2021,6668,6324
Florida,Apr 12 2021,9025,6195
Florida,Apr 11 2021,1637,5682
Florida,Apr 10 2021,5500,5951
Florida,Apr  9 2021,6744,5849
Florida,Apr  8 2021,6979,5717
Florida,Apr  7 2021,7715,5622
Florida,Apr  6 2021,5770,5514
Florida,Apr  5 2021,5435,5397
Florida,Apr  4 2021,3519,5348
Florida,Apr  3 2021,4782,5354
Florida,Apr  2 2021,5822,5360
Florida,Apr  1 2021,6315,5336
Florida,Mar 31 2021,6959,5265
Florida,Mar 30 2021,4950,5098
Florida,Mar 29 2021,5091,5125
Florida,Mar 28 2021,3565,5150
Florida,Mar 27 2021,4824,5062
Florida,Mar 26 2021,5651,4936
Florida,Mar 25 2021,5819,4827
Florida,Mar 24 2021,5790,4718
Florida,Mar 23 2021,5141,4727
Florida,Mar 22 2021,5264,4658
Florida,Mar 21 2021,2947,4565
Florida,Mar 20 2021,3946,4554
Florida,Mar 19 2021,4883,4533
Florida,Mar 18 2021,5061,4570
Florida,Mar 17 2021,5850,4566
Florida,Mar 16 2021,4658,4444
Florida,Mar 15 2021,4612,4463
Florida,Mar 14 2021,2869,4433
Florida,Mar 13 2021,3800,4503
Florida,Mar 12 2021,5140,4538
Florida,Mar 11 2021,5033,4456
Florida,Mar 10 2021,4997,4575
Florida,Mar  9 2021,4793,4725
Florida,Mar  8 2021,4401,4701
Florida,Mar  7 2021,3360,5063
Florida,Mar  6 2021,4047,4839
Florida,Mar  5 2021,4562,4945
Florida,Mar  4 2021,5870,5065
Florida,Mar  3 2021,6042,5067
Florida,Mar  2 2021,4628,5134
Florida,Mar  1 2021,6934,5477
Florida,Feb 28 2021,1796,5278
Florida,Feb 27 2021,4786,5604
Florida,Feb 26 2021,5399,5620
Florida,Feb 25 2021,5890,5858
Florida,Feb 24 2021,6510,5958
Florida,Feb 23 2021,7028,5745
Florida,Feb 22 2021,5543,5767
Florida,Feb 21 2021,4077,5925
Florida,Feb 20 2021,4899,5878
Florida,Feb 19 2021,7065,5987
Florida,Feb 18 2021,6590,5989
Florida,Feb 17 2021,5018,6109
Florida,Feb 16 2021,7178,6570
Florida,Feb 15 2021,6654,6602
Florida,Feb 14 2021,3746,6651
Florida,Feb 13 2021,5661,6904
Florida,Feb 12 2021,7082,7040
Florida,Feb 11 2021,7428,7076
Florida,Feb 10 2021,8246,7514
Florida,Feb  9 2021,7401,7405
Florida,Feb  8 2021,6999,7311
Florida,Feb  7 2021,5512,7779
Florida,Feb  6 2021,6616,7789
Florida,Feb  5 2021,7330,7935
Florida,Feb  4 2021,10498,8983
Florida,Feb  3 2021,7484,9029
Florida,Feb  2 2021,6743,9570
Florida,Feb  1 2021,10270,9780
Florida,Jan 31 2021,5587,9654
Florida,Jan 30 2021,7638,10076
Florida,Jan 29 2021,14664,10326
Florida,Jan 28 2021,10823,9952
Florida,Jan 27 2021,11266,10321
Florida,Jan 26 2021,8216,10518
Florida,Jan 25 2021,9390,10994
Florida,Jan 24 2021,8539,11020
Florida,Jan 23 2021,9384,10917
Florida,Jan 22 2021,12048,11117
Florida,Jan 21 2021,13409,11093
Florida,Jan 20 2021,12642,11533
Florida,Jan 19 2021,11551,11638
Florida,Jan 18 2021,9570,11939
Florida,Jan 17 2021,7818,12651
Florida,Jan 16 2021,10781,13188
Florida,Jan 15 2021,11885,13397
Florida,Jan 14 2021,16490,13844
Florida,Jan 13 2021,13372,14210
Florida,Jan 12 2021,13658,15069
Florida,Jan 11 2021,14557,15600
Florida,Jan 10 2021,11578,15687
Florida,Jan  9 2021,12244,15634
Florida,Jan  8 2021,15012,15374
Florida,Jan  7 2021,19053,14610
Florida,Jan  6 2021,19385,14879
Florida,Jan  5 2021,17373,14466
Florida,Jan  4 2021,15170,13900
Florida,Jan  3 2021,11207,13428
Florida,Jan  2 2021,10423,12970
Florida,Jan  1 2021,9660,12486
Florida,Dec 31 2020,20941,11951
Florida,Dec 30 2020,16490,10474
Florida,Dec 29 2020,13409,9949
Florida,Dec 28 2020,11870,9620
Florida,Dec 27 2020,8000,9378
Florida,Dec 26 2020,7033,9762
Florida,Dec 25 2020,5915,9921
Florida,Dec 24 2020,10606,10702
Florida,Dec 23 2020,12813,11032
Florida,Dec 22 2020,11105,11036
Florida,Dec 21 2020,10175,11065
Florida,Dec 20 2020,10688,10954
Florida,Dec 19 2020,8151,10608
Florida,Dec 18 2020,11382,10705
Florida,Dec 17 2020,12915,10562
Florida,Dec 16 2020,12838,10341
Florida,Dec 15 2020,11309,10110
Florida,Dec 14 2020,9395,9830
Florida,Dec 13 2020,8272,9605
Florida,Dec 12 2020,8829,9497
Florida,Dec 11 2020,10381,9405
Florida,Dec 10 2020,11369,9373
Florida,Dec  9 2020,11219,9169
Florida,Dec  8 2020,9347,9084
Florida,Dec  7 2020,7822,9162
Florida,Dec  6 2020,7512,9279
Florida,Dec  5 2020,8189,9128
Florida,Dec  4 2020,10157,8980
Florida,Dec  3 2020,9938,8404
Florida,Dec  2 2020,10626,7925
Florida,Dec  1 2020,9892,7851
Florida,Nov 30 2020,8639,7593
Florida,Nov 29 2020,6459,7515
Florida,Nov 28 2020,7155,7462
Florida,Nov 27 2020,6121,7364
Florida,Nov 26 2020,6588,7657
Florida,Nov 25 2020,10108,7977
Florida,Nov 24 2020,8082,7811
Florida,Nov 23 2020,8096,7761
Florida,Nov 22 2020,6090,7648
Florida,Nov 21 2020,6467,7421
Florida,Nov 20 2020,8168,7908
Florida,Nov 19 2020,8834,7371
Florida,Nov 18 2020,8942,7070
Florida,Nov 17 2020,7732,6573
Florida,Nov 16 2020,7303,6280
Florida,Nov 15 2020,4505,5846
Florida,Nov 14 2020,9874,5747
Florida,Nov 13 2020,4409,5277
Florida,Nov 12 2020,6730,5267
Florida,Nov 11 2020,5464,5044
Florida,Nov 10 2020,5678,5136
Florida,Nov  9 2020,4263,4947
Florida,Nov  8 2020,3812,4987
Florida,Nov  7 2020,6587,4823
Florida,Nov  6 2020,4340,4806
Florida,Nov  5 2020,5164,4542
Florida,Nov  4 2020,6109,4575
Florida,Nov  3 2020,4357,4294
Florida,Nov  2 2020,4545,4248
Florida,Nov  1 2020,2662,4206
Florida,Oct 31 2020,6465,4299
Florida,Oct 30 2020,2493,3709
Florida,Oct 29 2020,5394,3978
Florida,Oct 28 2020,4144,3734
Florida,Oct 27 2020,4036,3917
Florida,Oct 26 2020,4248,3645
Florida,Oct 25 2020,3314,3549
Florida,Oct 24 2020,2334,3325
Florida,Oct 23 2020,4376,3342
Florida,Oct 22 2020,3692,3285
Florida,Oct 21 2020,5420,3238
Florida,Oct 20 2020,2132,2932
Florida,Oct 19 2020,3581,3032
Florida,Oct 18 2020,1740,2903
Florida,Oct 17 2020,2458,2876
Florida,Oct 16 2020,3972,3042
Florida,Oct 15 2020,3367,2728
Florida,Oct 14 2020,3280,2655
Florida,Oct 13 2020,2831,2651
Florida,Oct 12 2020,2678,2602
Florida,Oct 11 2020,1552,2544
Florida,Oct 10 2020,3618,2518
Florida,Oct  9 2020,1772,2266
Florida,Oct  8 2020,2857,2407
Florida,Oct  7 2020,3255,2378
Florida,Oct  6 2020,2488,2312
Florida,Oct  5 2020,2266,2249
Florida,Oct  4 2020,1376,2380
Florida,Oct  3 2020,1854,2299
Florida,Oct  2 2020,2758,2296
Florida,Oct  1 2020,2651,2297
Florida,Sep 30 2020,2795,2318
Florida,Sep 29 2020,2047,2288
Florida,Sep 28 2020,3183,2365
Florida,Sep 27 2020,808,2250
Florida,Sep 26 2020,1831,2370
Florida,Sep 25 2020,2765,2464
Florida,Sep 24 2020,2800,2575
Florida,Sep 23 2020,2588,2629
Florida,Sep 22 2020,2580,2725
Florida,Sep 21 2020,2381,2684
Florida,Sep 20 2020,1646,2722
Florida,Sep 19 2020,2491,2740
Florida,Sep 18 2020,3543,2722
Florida,Sep 17 2020,3180,2666
Florida,Sep 16 2020,3257,2731
Florida,Sep 15 2020,2296,2628
Florida,Sep 14 2020,2643,2630
Florida,Sep 13 2020,1771,2510
Florida,Sep 12 2020,2368,2523
Florida,Sep 11 2020,3150,2536
Florida,Sep 10 2020,3638,2608
Florida,Sep  9 2020,2530,2545
Florida,Sep  8 2020,2316,2694
Florida,Sep  7 2020,1798,2719
Florida,Sep  6 2020,1862,3515
Florida,Sep  5 2020,2460,3489
Florida,Sep  4 2020,3652,3509
Florida,Sep  3 2020,3197,3431
Florida,Sep  2 2020,3573,3487
Florida,Sep  1 2020,2495,3428
Florida,Aug 31 2020,7370,3536
Florida,Aug 30 2020,1679,2872
Florida,Aug 29 2020,2600,2925
Florida,Aug 28 2020,3109,2980
Florida,Aug 27 2020,3584,3149
Florida,Aug 26 2020,3162,3296
Florida,Aug 25 2020,3252,3489
Florida,Aug 24 2020,2724,3611
